Nom du chanteur,Albums,Chansons,Producteurs,Années,Carrière Groupe/Solo
Michael Jackson,"HIStory: Past, Present and Future, Book I",You Are Not Alone,"Jimmy Jam & Terry Lewis, Michael Jackson, Rodney Jerkins, Teddy Riley",1995,Solo
Michael Jackson,"HIStory: Past, Present and Future, Book I",Earth Song,"Jimmy Jam & Terry Lewis, Michael Jackson, Rodney Jerkins, Teddy Riley",1995,Solo
Michael Jackson,"HIStory: Past, Present and Future, Book I",They Don't Care About Us,"Jimmy Jam & Terry Lewis, Michael Jackson, Rodney Jerkins, Teddy Riley",1995,Solo
Michael Jackson,"HIStory: Past, Present and Future, Book I",Stranger in Moscow,"Jimmy Jam & Terry Lewis, Michael Jackson, Rodney Jerkins, Teddy Riley",1995,Solo
Michael Jackson,"HIStory: Past, Present and Future, Book I",This Time Around,"Jimmy Jam & Terry Lewis, Michael Jackson, Rodney Jerkins, Teddy Riley",1995,Solo
Michael Jackson,Blood on the Dance Floor: HIStory in the Mix,Blood on the Dance Floor,"Teddy Riley, Rodney Jerkins, Michael Jackson",1997,Solo
Michael Jackson,Blood on the Dance Floor: HIStory in the Mix,Ghosts,"Teddy Riley, Rodney Jerkins, Michael Jackson",1997,Solo
Michael Jackson,Blood on the Dance Floor: HIStory in the Mix,Is It Scary,"Teddy Riley, Rodney Jerkins, Michael Jackson",1997,Solo
Michael Jackson,Blood on the Dance Floor: HIStory in the Mix,Unbreakable,"Teddy Riley, Rodney Jerkins, Michael Jackson",1997,Solo
Michael Jackson,Invincible,You Rock My World,"Rodney Jerkins, Michael Jackson, Teddy Riley, Jimmy Jam & Terry Lewis",2001,Solo
Michael Jackson,Invincible,Butterflies,"Rodney Jerkins, Michael Jackson, Teddy Riley, Jimmy Jam & Terry Lewis",2001,Solo
Michael Jackson,Invincible,Speechless,"Rodney Jerkins, Michael Jackson, Teddy Riley, Jimmy Jam & Terry Lewis",2001,Solo
Michael Jackson,Invincible,Unbreakable,"Rodney Jerkins, Michael Jackson, Teddy Riley, Jimmy Jam & Terry Lewis",2001,Solo
Michael Jackson,Invincible,Cry,"Rodney Jerkins, Michael Jackson, Teddy Riley, Jimmy Jam & Terry Lewis",2001,Solo
